id,comment,rating,review_date
12,gimnasios estupendos de esta cadena pero me surge una duda de qué material están hechas las pulseras?? están en constante contacto con la piel !! se podría actualizar este proceso??,3,Hace 2 meses
13,estuve hace tres años apuntada durante 9 meses y todo bien hace poco quise volver entrando con gympass al acceder me dijeron que tenía una cuota sin pagar de 2021 casi llamándome morosa finalmente me la cancelaron pero sí que me hicieron pagar 4€ por gastos de gestión me decepcionó bastante la gestión creo que ha cambiado bastante y no sé ni si volveré a ir,3,Hace 7 meses
17,gimnasio grande y con muchas máquinas y opciones de clases pero en los últimos meses está muy saturado de gente y puede llegar a ser incómodo entrenar por la tarde también noto que hay cosas a las que no prestan atención como la máquina de agua muy fría que lleva rota hace unos dos meses y nadie ha decidido arreglarla,3,Hace 6 meses
19,son 45€ al mes hay gimnasios mucho mas baratos hay personas k por semana o fines de semana solo podemos ir de tarde noche muchos gimnasios abren toda la semana me parece y hasta mas de las 23 00 me parece una basura el horario con lo que cuesta al mes,3,Hace 5 meses
21,llevo 1 año en el gimnasio las instalaciones son fantásticas pero no hay quien entrene por la tarde sólo se puede ir por las mañanas,3,Hace 3 meses
35,la verdad yo estoy contento y eh conocido a mucha gente y los monitores son muy agradables y dan muy bien las clases me gusta mucho y forma parte de mi vida,3,Fecha de edición: Hace 2 años
47,el gimnasio está muy bien pero hay dos cosas con las que no estoy de acuerdo las promociones casi nunca están incluidas en este gym y si se te olvida la pulsera aunque sea la primera vez en años que se te olvida no te dan solución más que pagar o irte a tu casa a buscarla con clientes que llevan años y van a diario y no son hechos que ocurran deberían de dar un cierto margen aunque sea 1 vez,3,Hace 2 años
86,este gimnasio es una vergüenza el baño de vapor y sauna sin funcionar por las mañanas agua fría en las duchas es decir más de 1 mes con fallas que no solucionan llevo 2 años siendo socia con muchas quejas del personal servicios y equipos pero hoy dejo esta reseña para destacar el trabajo impecable que realiza irene alonso irene destaca con su compromiso amabilidad puntualidad y responsabilidad irene cuida desde la música los equipos la atención a usuarios y resolución de incidencias en tiempo y siempre con educación y una sonrisa irene agrega valor a este gimnasio si queréis sentirte bien atendido asiste los domingos por las mañanas cuando está irene si quieres pasar las mañanas más terribles en un gimnasio asiste a este centro los días lun a viernes gracias irene por evitar que el dreamfit pierda clientes,3,Fecha de edición: Hace 9 meses
89,es un buen gimnasio con espacio y varias clases a elegir el horario es genial pero algo que me ha sorprendido de manera negativa es el hecho que hayan quitado las estaciones de alcohol toda mi vida he ido a gimnasios y es algo imprescindible así como la persona tenga su toalla es desagradable entrar a las clases de cardio y ver la máquina chorreada en sudor creo que debería haber alcohol para que la persona limpie después de su uso y así promover que el gimnasio se mantenga limpio y no lo digo por covid pero es algo que todos los gimnasios deben proveer,3,Fecha de edición: Hace 3 años
91,el gimnasio es muy grande y tiene muchas máquinas y clases son muy variadas el único punto negativo es que hay demasiada gente incluso yendo fines de semana o a última hora del día siempre está lleno,3,Hace 2 años
157,un poco masificado la gente va más a ver el tf móvil sentado en las maquinas que a desarrollar su rutina ell personal no dice nada no llaman la atención y no se pueden usar la mayoría de las máquinas el agua fría de las duchas y la limpieza de vestuarios es otra que deja que desear,3,Hace 2 años
158,creo que las medidas de higiene y salubridad deberian de seguir manteniendose de manera permamente aunque no usemos mascarilla la limpieza y el uso de papel para limpieza de maquinas gel deberia de estar presente 3 estrellas por que sauna turco duchas necesita mas limpieza,3,Hace 3 años
186,el gimnasio está muy bien y las clases estarían bien si hicieran algo con respecto a un chico que va por libre en las clases se pone en todo el frente a hacer lo que se le da la gana aunque intento seguir al instructor que por cierto son muy buenos es casi imposible estropea todo el gimnasio!,3,Hace 8 años
191,el gimnasio está bien pero el número de teléfono ese que aparece tiene restringidas las llamadas la gestión del área personal por la web he tenido problemas reiterados para activar claves por error en la recogida de datos por el personal y no demasiada atención ni explicación por lo demás buenas instalaciones y buenas clases a buen precio,3,Hace 8 años
211,falta poner en la web las titulaciones que poseen la mayoría de los monitores graduados universitarios técnicos superiores o medios cursos certificados por el ministerio de educación no solo poner las actividades que imparten por otra parte los monitores deberían estar formados en la correcta ejecución de los ejercicios entrenamientos y deberían estar pendientes y corrigiendo las malas ejecuciones de los usuarios para prevenirles lesiones así como hacerle observaciones desinteresadamente eso aumenta la satisfacción del cliente y aumenta la calidad del centro y por último si un cliente se inscribe con una cuota fija mensual determinada en un momento concreto no es de recibo que se le suba posteriormente y anualmente el precio a esos antiguos usuarios,3,Fecha de edición: Hace 6 años
221,yo no tengo experiencia en este gimnasio aunque me gustaría ir pero primero me gustaría saber cada cuánto se paga y cuánto es la mensualidad,3,Hace un año
247,yo viendo como todo el mundo pone valoraciones positivas porque han mandado un correo a los socios de que el que ponga una valoración positiva y chula ganará 7 años de gym gratis mediante sorteo anyway es buen gym…,3,Hace 2 años
252,baño a vapor le hace falta mantenimiento tanto para las duchas como para el techo,3,Hace 10 meses
256,demasiada gente en los horarios más concurridos tienes que elegir una hora de entrenamiento atípica para poder entrenar cómodamente por lo demás material en buen estado y buena atención al cliente,3,Hace 3 años
